source,target_preferred,status
perform module initialization,выполнить инициализацию блока управления,candidate
permanent fault,постоянная неисправность,candidate
persistency,постоянное хранение данных,candidate
phasing marks,метки взаимного положения,candidate
Phillips screwdriver,крестовая отвёртка,candidate
pilot bearing,направляющий подшипник первичного вала,candidate
pilot line,линия управления,candidate
pin punch,выколотка,candidate
pinion gear,ведущая шестерня стартера,candidate
pinion shaft,ось сателлитов,candidate
piston,поршень,candidate
piston cooling jet,масляная форсунка охлаждения поршня,candidate
piston crown,днище поршня,candidate
piston dust boot,пылезащитный чехол поршня,candidate
piston pin,поршневой палец,candidate
piston protrusion,выступание поршня,candidate
piston pump,поршневой насос,candidate
piston ring,поршневое кольцо,candidate
piston ring compressor,оправка для сжатия поршневых колец,candidate
piston ring end gap,зазор в замке поршневого кольца,candidate
piston seal,уплотнение поршня,candidate
piston skirt,юбка поршня,candidate
pitch circle diameter,диаметр расположения крепёжных отверстий,candidate
plain bearing,подшипник скольжения,candidate
planet carrier,водило,candidate
planet gear,сателлит,candidate
planetary gear set,планетарный ряд,candidate
planetary ring gear,коронная шестерня планетарного ряда,reviewed
plastic hammer,пластиковый молоток,candidate
platform health management,управление состоянием платформы,candidate
plenum chamber,короб воздухопритока,candidate
pliers,пассатижи,candidate
plug the openings,заглушить отверстия,candidate
plug weld,электрозаклёпочное сварное соединение,deprecated
plug-in hybrid electric vehicle,подключаемый гибридный электромобиль,candidate
ply,слой корда,candidate
pneumatic actuator,пневматический привод,candidate
pneumatic circuit,пневматический контур,candidate
pneumatic control valve,пневматический управляющий клапан,candidate
pneumatic system,пневматическая система,candidate
polish,полировать,candidate
polish the repair area,зачистить ремонтируемый участок,candidate
polish the welding surface to bare metal,зачистить сварочную поверхность до чистого металла,candidate
position,установить в требуемое положение,reviewed
position the replacement panel,установить ремонтную панель,candidate
positive crankcase ventilation valve,клапан принудительной вентиляции картера,reviewed
positive terminal,положительная клемма,candidate
post-encroachment time,время после пересечения конфликтной точки,candidate
power circuit,цепь питания,candidate
power seat switch and control panel,панель переключателей управления электроприводом сиденья,candidate
power seat switch panel,панель переключателей электрорегулировки сиденья,candidate
power steering fluid,рабочая жидкость усилителя рулевого управления,candidate
power steering pump,насос гидроусилителя рулевого управления,candidate
power steering reservoir,бачок рабочей жидкости усилителя рулевого управления,candidate
power supply circuit,цепь питания,candidate
powertrain control module,блок управления силовым агрегатом,candidate
preliminary positioning,предварительное позиционирование,candidate
preset position,предустановленное положение,candidate
press,запрессовать,candidate
press in,запрессовать,candidate
press out,выпрессовать,candidate
press tool,приспособление для запрессовки,candidate
press-fit,посадка с натягом,candidate
pressure build-up time,время нарастания давления,candidate
pressure cap,герметичная крышка системы охлаждения,candidate
pressure control solenoid,электромагнитный клапан регулирования давления,candidate
pressure drop,падение давления,candidate
pressure gauge,манометр,candidate
pressure line,напорная магистраль,candidate
pressure pulsation,пульсация давления,candidate
pressure reducing valve,редукционный клапан,candidate
pressure regulator,регулятор давления,candidate
pressure relief valve,предохранительный клапан,candidate
pressure sensor,датчик давления,candidate
pressure switch,реле давления,candidate
pressure test,проверка давлением,candidate
pressure tester,прибор для проверки давления,candidate
pressurize,создать давление,candidate
prevent fin damage,не допускать повреждения пластин,candidate
prevent hands from being crushed,не допускать защемления рук,candidate
primary pulley,ведущий шкив вариатора,candidate
prime,предварительно заполнить рабочей жидкостью,reviewed
prime the oil pump,заполнить масляный насос перед запуском,candidate
primer,грунт,candidate
program,запрограммировать,candidate
propeller shaft,карданный вал,candidate
proportional valve,пропорциональный клапан,candidate
protect from contamination,защитить от загрязнения,candidate
protect the sealing lip,защитить рабочую кромку манжеты,candidate
protective clothing,защитная одежда,candidate
protective cream,защитный крем,candidate
protocol data unit,протокольный блок данных,candidate
pry,поддеть,candidate
pry off,снять поддеванием,candidate
pry off the guide sleeve,поддеть и снять направляющую втулку,candidate
publish-subscribe,модель публикации и подписки,candidate
pull,потянуть,candidate
pull out,вытянуть,candidate
pulley ratio,передаточное отношение шкивов,candidate
pulling direction,направление вытяжки,candidate
pulling force,усилие вытяжки,candidate
pulse-width modulation,широтно-импульсная модуляция,candidate
puncture,прокол,candidate
purge control valve,клапан продувки адсорбера,candidate
push,нажать,candidate
push belt,толкающий ремень вариатора,candidate
push in,вставить нажатием,candidate
push pin,пистон,candidate
push-type retainer,нажимной фиксатор,candidate
quarter inner panel,внутренняя панель заднего крыла,candidate
quick-release coupling,быстроразъёмная муфта,candidate
rack housing,картер рулевого механизма,candidate
radial runout,радиальное биение,candidate
radial shaft seal,радиальное манжетное уплотнение вала,candidate
radial tire,радиальная шина,candidate
radiator,радиатор,candidate
radiator cap,крышка радиатора,candidate
radiator core,сердцевина радиатора,candidate
radiator fan,вентилятор радиатора,candidate
radiator frame,рамка радиатора,candidate
radiator inlet hose,впускной шланг радиатора,candidate
radiator outlet hose,выпускной шланг радиатора,candidate
radiator support,панель рамки радиатора,candidate
radiator tank,бачок радиатора,candidate
radio frequency antenna,радиочастотная антенна,candidate
radio frequency antenna connector,разъём радиочастотной антенны,candidate
radio frequency antenna replacement,замена радиочастотной антенны,candidate
rail pressure sensor,датчик давления в топливной рампе,candidate
raise,поднять,candidate
ratchet handle,трещоточная рукоятка,candidate
rated voltage,номинальное напряжение,candidate
read data by identifier,чтение данных по идентификатору,candidate
read DTC information,чтение информации о кодах неисправностей,candidate
ream,развернуть отверстие,candidate
rear axle beam,балка задней подвески,candidate
rear bumper harness,жгут проводов заднего бампера,candidate
rear bumper lower body,нижняя часть заднего бампера,candidate
rear bumper lower panel,нижняя панель заднего бампера,candidate
rear climate control,задняя климатическая установка,candidate
rear combination lamp mounting hole,отверстие крепления заднего комбинированного фонаря,candidate
rear crankshaft oil seal,задний сальник коленчатого вала,candidate
rear crankshaft seal,задний сальник коленчатого вала,candidate
rear crossmember,задняя поперечина,candidate
rear defogger switch,выключатель обогрева заднего стекла,candidate
rear door inner panel,внутренняя панель задней двери,candidate
rear door outer panel,наружная панель задней двери,candidate
rear door sill trim panel,облицовка порога задней двери,candidate
rear floor panel,задняя панель пола,candidate
rear floor rear connecting plate,задняя соединительная панель задней части пола,candidate
rear floor right rear connecting plate,правая задняя соединительная панель задней части пола,candidate
rear keyless vehicle antenna,задняя антенна системы бесключевого доступа,candidate
rear overhead console,задняя потолочная консоль,candidate
rear panel,задняя панель кузова,candidate
rear quarter panel,заднее крыло,candidate
rear quarter window glass,стекло задней боковины,candidate
rear seat,заднее сиденье,candidate
rear seat backrest assembly,спинка заднего сиденья в сборе,candidate
rear seat belt retractor bracket supporting plate,опорная пластина кронштейна втягивающего устройства заднего ремня безопасности,candidate
rear seat cushion,подушка заднего сиденья,candidate
rear seat left backrest assembly,левая спинка заднего сиденья в сборе,candidate
rear seat right backrest assembly,правая спинка заднего сиденья в сборе,candidate
rear section of the seat sliding rail,задняя часть салазок сиденья,candidate
rear side member,задний лонжерон,candidate
rear track width,колея задних колёс,candidate
rear wall panel assembly,панель задней стенки кузова в сборе,candidate
rear wheel arch trim panel,накладка задней колёсной арки,candidate
rear wheel brow trim panel,облицовка арки заднего колеса,candidate
rear wheelhouse,задняя колёсная ниша,candidate
rear windscreen harness,жгут проводов заднего стекла,candidate
rear windscreen heated defrost control,управление электрообогревом заднего стекла,candidate
rear windscreen heater,нагревательный элемент заднего стекла,candidate
rearview mirror glass,стекло наружного зеркала заднего вида,candidate
rearview mirror heating element,нагревательный элемент наружного зеркала заднего вида,candidate
receiver drier,ресивер-осушитель,candidate
rechargeable energy storage system,перезаряжаемая система накопления энергии,candidate
recheck the wheel nut torque,повторно проверить момент затяжки колёсных гаек,candidate
recirculation actuator,привод заслонки рециркуляции,candidate
recirculation door,заслонка рециркуляции,candidate
recommended tire pressure,рекомендуемое давление в шинах,candidate
record a DTC,записать диагностический код неисправности,candidate
recover refrigerant,откачать хладагент,candidate
recover the refrigerant,откачать хладагент,candidate
rectifier,выпрямитель,candidate
reference hole,контрольное отверстие,candidate
reference voltage,опорное напряжение,candidate
refill,заправить повторно,reviewed
refinish the repaired area,восстановить лакокрасочное покрытие отремонтированного участка,candidate
refrigerant,хладагент,candidate
refrigerant accumulator,аккумулятор хладагента,reviewed
refrigerant charge,заправочная масса хладагента,candidate
refrigerant line,трубопровод хладагента,candidate
refrigerant pressure sensor,датчик давления хладагента,candidate
refrigerant recovery,откачка хладагента,candidate
regenerative braking,рекуперативное торможение,candidate
reinforcement panel,усилительная панель,candidate
relay box,блок реле,candidate
release,освободить,candidate
release residual pressure,сбросить остаточное давление,candidate
release the retaining tabs,освободить фиксирующие язычки,candidate
reload SMD,повторно загрузить программное обеспечение модуля сиденья,candidate
reload the seat module software,повторно загрузить программное обеспечение модуля сиденья,candidate
remote assistance,дистанционная помощь,candidate
remote driving,дистанционное управление автомобилем,candidate
remote procedure call,удалённый вызов процедур,candidate
Removal and installation,Снятие и установка,approved
remove,снять,candidate
remove all gasket material,полностью удалить остатки прокладки,candidate
remove all traces,полностью удалить остатки,candidate
remove and install,снять и установить,candidate
remove burrs,удалить заусенцы,candidate
remove corrosion,удалить коррозию,candidate
remove dirt,удалить загрязнения,candidate
remove old sealant,удалить старый герметик,candidate
remove paint rust and adhesive residues,удалить остатки краски ржавчины и клея,candidate
remove the damaged panel,снять повреждённую панель,candidate
remove the horn,снять звуковой сигнал,candidate
remove the seat cushion foam with cover,снять подушку сиденья с обивкой в сборе,candidate
remove the spot welds,удалить сварные точки,candidate
remove the trim panel,снять панель облицовки,candidate
remove the valve core,вывернуть золотник вентиля,candidate
remove welding marks,удалить следы сварки,candidate
repair the wire harness,отремонтировать жгут проводов,candidate
replace,заменить,candidate
replace after removal,заменить после снятия,candidate
replace damaged clips,заменить повреждённые клипсы,candidate
replace if necessary,при необходимости заменить,candidate
replace the connector terminal,заменить контакт разъёма,candidate
replace the O-ring,заменить уплотнительное кольцо,candidate
replace the oil filter,заменить масляный фильтр,candidate
replace the oil seal,заменить сальник,candidate
replace the sealing washer,заменить уплотнительную шайбу,candidate
replace the tire,заменить шину,candidate
Replacement,Замена,approved
reposition,изменить положение,candidate
request download,запрос загрузки данных в блок,candidate
request medical assistance,вызвать медицинскую помощь,candidate
request upload,запрос выгрузки данных из блока,candidate
reset,сбросить,candidate
residual pressure,остаточное давление,candidate
resistance spot welding,контактная точечная сварка,candidate
respiratory protection,средства защиты органов дыхания,candidate
restore corrosion protection,восстановить антикоррозионную защиту,candidate
restore the underbody coating,восстановить покрытие днища,candidate
restore the vehicle,привести автомобиль в исходное состояние,candidate
resurface,восстановить рабочую поверхность,candidate
retaining clip,фиксирующий зажим,candidate
retaining ring,стопорное кольцо,candidate
retaining ring groove,канавка под стопорное кольцо,candidate
retaining tab,фиксирующий язычок,candidate
retighten,повторно затянуть,candidate
return line,сливная магистраль,candidate
return spring,стяжная пружина тормозных колодок,candidate
reuse,использовать повторно,candidate
reverse brake,тормоз заднего хода,candidate
reverse idler gear,промежуточная шестерня заднего хода,candidate
rewire the bus lead,повторно припаять токоведущий вывод,candidate
ride height,высота положения кузова,candidate
right front seat assembly,правое переднее сиденье в сборе,candidate
right front seat left guard,левый боковой кожух правого переднего сиденья,candidate
right front seat right guard,правый боковой кожух правого переднего сиденья,candidate
rigid pipe,жёсткая трубка,candidate
rim diameter,посадочный диаметр обода,candidate
rim protector,защитная накладка обода,candidate
rim width,ширина обода,candidate
ring gear,зубчатый венец,deprecated
ring groove,канавка поршневого кольца,candidate
rinse with water,промыть водой,candidate
risk mitigation function,функция снижения риска,candidate
rivet,заклёпка,deprecated
rivnut,заклёпочная гайка,candidate
road marking,дорожная разметка,candidate
road test,выполнить дорожное испытание,candidate
road user,участник дорожного движения,candidate
road wheel,дисковое колесо,candidate
rocker arm,коромысло клапана,candidate
rocker panel,панель порога,candidate
rod seal,уплотнение штока,candidate
roller bearing,роликовый подшипник,candidate
rolling bearing,подшипник качения,candidate
roof bow,поперечина крыши,candidate
roof harness,жгут проводов крыши,candidate
roof harness connector,разъём жгута проводов крыши,candidate
roof interior trim panel,обивка потолка,candidate
roof panel,панель крыши,candidate
roof reinforcement,усилитель крыши,candidate
roof side rail,боковая продольная балка крыши,candidate
room lamp,плафон освещения салона,candidate
rosin flux,канифольный флюс,candidate
rotate,повернуть,reviewed
rotation arrow,стрелка направления вращения,candidate
rotation pattern,схема перестановки колёс,candidate
rotor winding,обмотка ротора,candidate
route,маршрут,candidate
routine control,управление процедурой,candidate
rubber mallet,резиновая киянка,candidate
run-flat tire,шина с возможностью движения при потере давления,candidate
runout,радиальное биение,candidate
runtime environment,среда выполнения,candidate
safe state,безопасное состояние,candidate
safety goal,цель безопасности,candidate
Safety precautions,Меры безопасности,approved
sand,обработать шлифовальной бумагой,reviewed
sandblasting equipment,пескоструйное оборудование,candidate
scan tool,диагностический прибор,candidate
scenario,сценарий движения,candidate
scenario-based testing,испытания на основе сценариев,candidate
screw,винт,candidate
screw in,ввернуть,candidate
screwdriver,отвёртка,candidate
scuff plate,накладка порога,candidate
seal,герметизировать,candidate
seal driver,оправка для установки манжеты,candidate
seal groove,канавка под уплотнение,candidate
seal puller,съёмник манжетных уплотнений,reviewed
sealant,герметик,candidate
sealant bead,валик герметика,candidate
sealing lip,рабочая кромка манжеты,candidate
sealing surface,уплотняемая поверхность,candidate
seam sealer,шовный герметик,candidate
seam weld,шовное сварное соединение,candidate
seat adjuster,механизм регулировки сиденья,candidate
seat adjustment button ring,декоративное кольцо кнопки регулировки сиденья,candidate
seat adjustment switch signal,сигнал переключателя регулировки сиденья,candidate
seat adjustment system,система регулировки сиденья,candidate
seat adjustment system principle,принцип работы системы регулировки сиденья,candidate
seat assembly,сиденье в сборе,candidate
seat back cover,крышка спинки сиденья,candidate
seat back foam with cover,набивка спинки сиденья с обивкой в сборе,candidate
seat backrest,спинка сиденья,candidate
seat backrest frame,каркас спинки сиденья,candidate
seat belt,ремень безопасности,candidate
seat belt anchor,крепление ремня безопасности,candidate
seat belt buckle,замок ремня безопасности,candidate
seat belt buckle sensor,датчик замка ремня безопасности,candidate
seat belt pretensioner,преднатяжитель ремня безопасности,candidate
seat belt retractor,втягивающее устройство ремня безопасности,candidate
seat cushion,подушка сиденья,candidate
seat cushion foam with cover,подушка сиденья с обивкой в сборе,candidate
seat cushion frame,каркас подушки сиденья,candidate
seat fixing bolt,болт крепления сиденья,candidate
seat harness,жгут проводов сиденья,candidate
seat harness connector,разъём жгута проводов сиденья,candidate
seat harness fixing clip,фиксатор жгута проводов сиденья,candidate
seat heater,обогреватель сиденья,candidate
seat heating,обогрев сиденья,candidate
seat heating control module,модуль управления обогревом сиденья,candidate
seat heating request signal,сигнал запроса обогрева сиденья,candidate
seat heating temperature,температура обогрева сиденья,candidate
seat heating wire,нагревательный элемент сиденья,candidate
seat height adjuster,механизм регулировки высоты сиденья,candidate
seat height motor,электродвигатель регулировки высоты сиденья,candidate
seat height motor bracket,кронштейн электродвигателя регулировки высоты сиденья,candidate
seat height motor connector,разъём электродвигателя регулировки высоты сиденья,candidate
seat leg guard,защитный кожух основания сиденья,candidate
seat leg support,опора ног сиденья,candidate
seat leg support foam block,пенополиуретановый вкладыш опоры ног,candidate
seat lifting mechanism,механизм подъёма сиденья,candidate
seat lifting motor bracket,кронштейн электродвигателя подъёма сиденья,candidate
seat memory adjustment,регулировка положения сиденья по памяти,candidate
seat memory function,функция памяти положения сиденья,candidate
seat memory position signal,сигнал запоминаемого положения сиденья,candidate
seat module fixing screw,винт крепления модуля сиденья,candidate
seat module software,программное обеспечение модуля сиденья,candidate
seat motor,электродвигатель регулировки сиденья,candidate
seat position sensor,датчик положения сиденья,candidate
seat recliner,механизм регулировки наклона спинки,candidate
seat side guard,боковой защитный кожух сиденья,candidate
seat the bead,посадить борт шины на обод,candidate
seat track,салазки сиденья,candidate
seat ventilation,вентиляция сиденья,candidate
seat ventilation fan,вентилятор вентиляции сиденья,candidate
seatback,спинка сиденья,candidate
seatback frame,каркас спинки сиденья,candidate
secondary lock,вторичный фиксатор разъёма,candidate
secondary pulley,ведомый шкив вариатора,candidate
section width,ширина профиля шины,candidate
sectioning,частичная замена панели,candidate
sectioning joint,стык при частичной замене,candidate
secure,закрепить,candidate
secure boot,безопасная загрузка,candidate
secure onboard communication,защищённая бортовая связь,candidate
security access,доступ с проверкой безопасности,candidate
seek medical attention,обратиться за медицинской помощью,candidate
selective catalytic reduction system,система селективной каталитической нейтрализации,reviewed
selector lever,селектор передач,candidate
selector shaft,вал выбора передач,candidate
self-locking nut,самоконтрящаяся гайка,candidate
self-piercing rivet,самопроникающая заклёпка,candidate
self-tapping screw,самонарезающий винт,candidate
sensor,датчик,candidate
sensor fusion,комплексирование данных датчиков,candidate
sensor ID,идентификатор датчика,candidate
sensor valve,вентиль с датчиком давления,candidate
separate the panel,отделить панель,candidate
separate the panel from the body,отделить панель от кузова,candidate
Service data,Сервисные данные,approved
service disconnect,сервисный разъединитель,candidate
service discovery,обнаружение сервисов,candidate
Service information,Сервисная информация,reviewed
service port,сервисный штуцер,candidate
service-oriented architecture,сервис-ориентированная архитектура,candidate
service-oriented middleware over IP,сервис-ориентированное промежуточное ПО поверх IP,candidate
set,установить,candidate
set screw,установочный винт,candidate
shaft end play,осевой зазор вала,candidate
shaft seal,манжетное уплотнение вала,reviewed
sharp edge,острая кромка,candidate
shielded cable,экранированный кабель,candidate
shift actuator,исполнительный механизм переключения передач,candidate
shift fork,вилка переключения передач,candidate
shift lever,рычаг переключения передач,candidate
shift rail,шток переключения передач,candidate
shift rod,тяга переключения передач,candidate
shift solenoid,электромагнитный клапан переключения передач,candidate
shim,регулировочная шайба,candidate
shock absorber,амортизатор,candidate
short block,блок цилиндров в сборе с кривошипно-шатунным механизмом,candidate
short to ground,короткое замыкание на массу,candidate
short to power,короткое замыкание на питание,candidate
shoulder bolt,болт с буртиком,candidate
shoulder wear,износ плечевых зон,candidate
shut-off valve,запорный клапан,candidate
side cutters,бокорезы,candidate
side vent,боковой дефлектор,candidate
sidewall bulge,вздутие боковины,candidate
sidewall damage,повреждение боковины,candidate
signal circuit,сигнальная цепь,candidate
signal path,путь сигнала,candidate
signal subscription,подписка на сигнал,candidate
signal update,обновление сигнала,candidate
signal-to-service translation,преобразование сигналов в сервисы,candidate
silicone grease,силиконовая смазка,candidate
silicone sealant,силиконовый герметик,candidate
single-acting cylinder,гидроцилиндр одностороннего действия,candidate
six-way adjustment,шестипозиционная регулировка,candidate
skin allergy,аллергическая реакция кожи,candidate
skin irritation,раздражение кожи,candidate
sleep mode,режим сна,candidate
sleeve,втулка,candidate
slide,сдвинуть,candidate
slide hammer,обратный молоток,candidate
sliding rail end trim cover,декоративная крышка конца салазки,candidate
slip ring,контактное кольцо,candidate
slip yoke,скользящая вилка,candidate
slow leak,медленная утечка воздуха,candidate
snap ring,стопорное кольцо,reviewed
snap ring pliers,съёмник стопорных колец,candidate
socket,торцовая головка,candidate
socket wrench,торцовый ключ,candidate
soft jaws,мягкие губки тисков,candidate
software calibration,калибровка программного обеспечения,candidate
software identification number,идентификационный номер программного обеспечения,candidate
software update management system,система управления обновлениями программного обеспечения,candidate
solder,припой,deprecated
solder the lead,припаять вывод,reviewed
soldering iron,паяльник,candidate
solenoid valve,электромагнитный клапан,candidate
solid rivet,цельная заклёпка,candidate
sound a warning,подать звуковой сигнал,candidate
sound deadener,шумопоглощающий материал,candidate
sound insulation pad,шумоизоляционная накладка,candidate
sound pressure level,уровень звукового давления,candidate
sound-producing device,звуковое сигнальное устройство,candidate
spacer,проставка,candidate
spare tire,запасная шина,candidate
spare wheel well,ниша запасного колеса,candidate
speaker grille,решётка динамика,candidate
special service tool,специальный сервисный инструмент,candidate
Special tools,Специальный инструмент,approved
speed rating,индекс скорости,candidate
spline,шлицевое соединение,candidate
splined shaft,шлицевой вал,candidate
split pin,шплинт,candidate
spool valve,золотниковый клапан,candidate
spot weld,точечное сварное соединение,deprecated
spot weld cutter,фреза для высверливания сварных точек,candidate
sprayable seam sealer,распыляемый шовный герметик,candidate
spring clip,пружинный зажим,candidate
spring compressor,стяжка пружины,candidate
spring pin,пружинный штифт,candidate
spring seat,опора пружины,candidate
spring washer,пружинная шайба,candidate
stabilizer bar,стабилизатор поперечной устойчивости,candidate
stabilizer bushing,втулка стабилизатора,candidate
stabilizer link,стойка стабилизатора,candidate
stake,закернить,candidate
stake the nut,закернить гайку,candidate
standard mark,контрольная метка,candidate
start button,кнопка запуска двигателя,candidate
start the engine,запустить двигатель,candidate
starter drive,привод стартера,candidate
starter motor,стартер,candidate
starter relay,реле стартера,candidate
starter solenoid,тяговое реле стартера,candidate
state management,управление состояниями,candidate
state of charge,степень заряженности,candidate
state of energy,степень энергетического состояния,candidate
state of health,степень технического состояния батареи,candidate
static imbalance,статический дисбаланс,candidate
stator,реактор гидротрансформатора,candidate
stator winding,обмотка статора,candidate
steel belt,стальной ремень вариатора,candidate
steel plate,стальной диск,candidate
steel wheel,стальное колесо,candidate
steering angle sensor,датчик угла поворота рулевого колеса,candidate
steering column,рулевая колонка,candidate
steering column cover,кожух рулевой колонки,candidate
steering effort,усилие на рулевом колесе,candidate
steering gear,рулевой механизм,candidate
steering knuckle,поворотный кулак,candidate
steering motor,электродвигатель усилителя рулевого управления,candidate
steering rack,рулевой механизм реечного типа,reviewed
steering rack boot,защитный чехол рулевой рейки,candidate
steering shaft,рулевой вал,candidate
steering torque sensor,датчик крутящего момента рулевого управления,candidate
steering wheel,рулевое колесо,candidate
steering wheel angle,угол поворота рулевого колеса,candidate
steering wheel free play,свободный ход рулевого колеса,candidate
steering wheel horn button,кнопка звукового сигнала на рулевом колесе,candidate
stitch weld,прерывистый сварной шов,candidate
stone-chip coating,антигравийное покрытие,candidate
stop the engine,остановить двигатель,candidate
straightedge,поверочная линейка,candidate
straighten,выправить,candidate
straighten the mating flange,выправить сопрягаемый фланец,candidate
strike,нанести удар,candidate
structural adhesive,конструкционный клей,candidate
strut bearing,опорный подшипник амортизаторной стойки,candidate
strut mount,верхняя опора амортизаторной стойки,candidate
strut mounting hole,отверстие крепления газонаполненного упора,candidate
stud,шпилька,candidate
stud distribution,расположение приварных шпилек,candidate
subframe,подрамник,candidate
suction line,всасывающая магистраль,candidate
suitable fire extinguisher,подходящий огнетушитель,candidate
summer tire,летняя шина,candidate
sun gear,солнечная шестерня,candidate
sun visor,солнцезащитный козырёк,candidate
sunload sensor,датчик солнечной радиации,candidate
supply equipment communication controller,контроллер связи зарядного оборудования,candidate
supply power to the horn,подать питание на звуковой сигнал,candidate
supply power to the windscreen heater,подать питание на обогреватель стекла,candidate
support,подпереть,reviewed
suspension strut,амортизаторная стойка,candidate
suspension travel,ход подвески,candidate
switch position,положение переключателя,candidate
synchronizer,синхронизатор,candidate
synchronizer hub,ступица синхронизатора,candidate
synchronizer ring,блокирующее кольцо синхронизатора,candidate
synchronizer sleeve,муфта синхронизатора,candidate
system evacuation,вакуумирование системы,candidate
system pressure,давление в системе,candidate
tail keyless vehicle antenna,задняя антенна системы бесключевого доступа,candidate
tailgate inner panel,внутренняя панель двери багажного отделения,candidate
tailgate outer panel,наружная панель двери багажного отделения,candidate
tailgate upper interior trim panel assembly,верхняя облицовка двери багажного отделения в сборе,candidate
take-over request,запрос на принятие управления,candidate
tap lightly,слегка постучать,candidate
tap the thread,нарезать внутреннюю резьбу,candidate
tapered roller bearing,конический роликовый подшипник,candidate
tappet,толкатель клапана,candidate
TDC,ВМТ,approved
tear,разрыв,candidate
temperature monitoring,контроль температуры,candidate
temporarily install the new component,временно установить новую деталь,candidate
terminal lock,фиксатор контакта,candidate
termination resistor,согласующий резистор,candidate
test case,тестовый случай,candidate
test light,контрольная лампа,candidate
test voltage,испытательное напряжение,candidate
tester present,поддержание диагностического сеанса,candidate
thermal cutting,термическая резка,candidate
thermal runaway,тепловой разгон,candidate
thermostat,термостат,candidate
thermostat housing,корпус термостата,candidate
thermostat opening and closing,открытие и закрытие термостата,candidate
thermostat valve,клапан термостата,candidate
thigh support,поддержка бёдер,candidate
thread engagement,длина зацепления резьбы,candidate
thread pitch,шаг резьбы,candidate
thread sealant,резьбовой герметик,candidate
threaded insert,резьбовая вставка,candidate
threadlocker,фиксатор резьбы,candidate
threat analysis and risk assessment,анализ угроз и оценка рисков,candidate
three-jaw puller,трёхзахватный съёмник,candidate
throttle body,дроссельный узел,candidate
throttle position sensor,датчик положения дроссельной заслонки,candidate
throttle valve,дроссельная заслонка,candidate
thrust bearing,упорный подшипник,candidate
thrust washer,упорная шайба,candidate
tie rod,рулевая тяга,candidate
tie rod end,наконечник рулевой тяги,candidate
TIG welding,сварка TIG,candidate
tighten,затянуть,candidate
tighten by hand,затянуть от руки,candidate
tighten diagonally,затянуть крест-накрест,candidate
tighten evenly,затянуть равномерно,candidate
tighten in sequence,затянуть в установленной последовательности,candidate
tighten the wheel nuts in a crisscross pattern,затянуть колёсные гайки крест-накрест,candidate
tighten to the specified torque,затянуть установленным моментом,candidate
tightening torque,момент затяжки,approved
time headway,временной интервал следования,candidate
time synchronization,синхронизация времени,candidate
time to collision,время до столкновения,candidate
time-sensitive networking,сеть с поддержкой детерминированной передачи по времени,candidate
timing belt,ремень привода газораспределительного механизма,candidate
timing belt tensioner,натяжитель ремня привода ГРМ,candidate
timing chain,цепь привода газораспределительного механизма,candidate
timing chain guide,направляющая цепи привода ГРМ,candidate
timing chain tensioner,натяжитель цепи привода ГРМ,candidate
timing cover,крышка привода газораспределительного механизма,candidate
timing mark,установочная метка фаз газораспределения,candidate
timing sprocket,звёздочка привода ГРМ,candidate
tire,шина,candidate
tire aging,старение шины,candidate
tire bead,борт шины,candidate
tire changer,шиномонтажный станок,candidate
tire date code,код даты изготовления шины,candidate
tire inflation pressure,давление воздуха в шине,candidate
tire lever,монтажная лопатка,candidate
tire pressure monitoring system,система контроля давления в шинах,candidate
tire pressure sensor,датчик давления в шине,candidate
tire rotation,перестановка колёс,candidate
tire shoulder,плечевая зона шины,candidate
tire sidewall,боковина шины,candidate
tire size,размер шины,candidate
tire tread,протектор шины,candidate
tire valve stem,вентиль шины,reviewed
toe angle,угол схождения колёс,candidate
top up,долить до требуемого уровня,candidate
torque,затянуть заданным моментом,candidate
torque converter,гидротрансформатор,candidate
torque converter housing,корпус гидротрансформатора,candidate
torque converter lock-up clutch,блокировочная муфта гидротрансформатора,candidate
torque in sequence,затянуть в указанной последовательности,candidate
torque to specification,затянуть установленным моментом,candidate
torque wrench,динамометрический ключ,candidate
torque-to-yield bolt,болт с контролируемой пластической деформацией,candidate
torsional vibration damper,демпфер крутильных колебаний,candidate
Torx bit,бита Torx,candidate
TPMS calibration,калибровка системы контроля давления в шинах,candidate
TPMS initialization,инициализация системы контроля давления в шинах,candidate
TPMS sensor,датчик системы контроля давления в шинах,candidate
traction battery,тяговая аккумуляторная батарея,candidate
traction control system,противобуксовочная система,candidate
traction inverter,тяговый инвертор,candidate
traffic participant,участник дорожного движения,candidate
traffic sign recognition,распознавание дорожных знаков,candidate
trajectory,траектория движения,candidate
transfer case,раздаточная коробка,candidate
transfer case housing,картер раздаточной коробки,candidate
transfer data,передача данных,candidate
transition demand,требование перехода к ручному управлению,candidate
transition phase,переходная фаза,candidate
transmission control module,блок управления трансмиссией,candidate
transmission fluid,рабочая жидкость коробки передач,reviewed
transmission fluid temperature sensor,датчик температуры рабочей жидкости коробки передач,candidate
transmission housing,картер коробки передач,candidate
transmission oil,трансмиссионное масло,candidate
transmission oil cooler,охладитель рабочей жидкости коробки передач,candidate
transmission oil pan,поддон коробки передач,reviewed
transmission range sensor,датчик диапазона коробки передач,candidate
transparent conductive film,прозрачная токопроводящая плёнка,candidate
tread block,блок протектора,candidate
tread depth,глубина рисунка протектора,candidate
tread groove,канавка протектора,candidate
tread separation,расслоение протектора,candidate
